index,High,Low,Close,Volume,RSI,MACD,MACD_Signal,MACD_Diff,Change,Up,Down,Delta_SMA,Delta_EMA,Target
8460,71.95999908447266,70.70999908447266,70.95999908447266,3120000,43.96659912728354,0.0537012214934264,0.1890111209764994,-0.1353098994830729,-0.008314599420763801,0.014092446630524525,-0.003523111657631131,0.8604006958007773,0.696975491731024,-1
8461,71.4800033569336,70.37999725341797,71.12999725341797,3590000,46.74087617154676,0.0260918803727463,0.1564272728557488,-0.1303353924830025,0.002389964508780347,0.004920653972031559,-0.010544074637426766,0.7628004455566497,0.6516575566443663,-1
8462,71.62000274658203,70.44999694824219,70.63999938964844,4450000,40.514343410116446,-0.0349248618358615,0.1181568459174267,-0.1530817077532883,-0.006936549660295373,0.013873207324478023,-0.0026897288087192836,0.6455004119873138,0.5823788455160326,-1
8463,70.83999633789062,69.3499984741211,69.66000366210938,4630000,31.48158011440809,-0.1605082949729563,0.0624238177393501,-0.2229321127123065,-0.014068269825143837,0.016939314007287244,-0.004450260862631916,0.49700057983399404,0.46507936923697457,-1
8464,69.83999633789062,68.16999816894531,69.12000274658203,4620000,27.803162602425203,-0.3001477153933933,-0.0100904888871985,-0.2900572265061948,-0.007812512935035244,0.010416573534412906,-0.013744278644197482,0.34520088195800724,0.33112401459233354,0
8465,69.93000030517578,68.83000183105469,69.1500015258789,3600000,28.30433961007563,-0.4037382679111516,-0.0888200446919891,-0.3149182232191624,0.0004338218168462103,0.011279808562331932,-0.004627616598163936,0.18450080871582486,0.21512307670744235,-1
8466,69.58000183105469,68.62000274658203,68.95999908447266,3300000,27.024738108482158,-0.4954548412163149,-0.1701470039968543,-0.3253078372194605,-0.002755255857435645,0.00899075920552954,-0.004930341392176441,0.0030007934570335237,0.10283781810609582,0
8467,69.54000091552734,68.56999969482422,69.37000274658203,3390000,33.962589419355055,-0.5289595014869519,-0.2419095034948738,-0.2870499979920781,0.005910388437019004,0.0024506005797107827,-0.011532406228673962,-0.18109916687011207,0.027815682435033295,-1
8468,70.16999816894531,69.2300033569336,69.61000061035156,3730000,37.6965176880754,-0.5300364342018753,-0.2995348896362741,-0.2305015445656011,0.0034477497725210714,0.008044786003212215,-0.005458946273324126,-0.3508991241454993,-0.024058266410293072,-1
8469,69.95999908447266,69.05999755859375,69.47000122070312,3450000,36.40344807537542,-0.5360079261390496,-0.3468294969368293,-0.1891784292022202,-0.0020152495636737594,0.007053373472858158,-0.0059018807385192275,-0.4933992004394554,-0.07690455650202921,-1
8470,69.61000061035156,68.68000030517578,69.06999969482422,3650000,32.928033219718344,-0.5664870466597733,-0.3907610068814181,-0.1757260397783552,-0.005791248409530259,0.00781816878403445,-0.005646436823101104,-0.6471992492675724,-0.14496465865154562,-1
8471,69.30999755859375,68.12999725341797,68.31999969482422,3780000,27.606263689791632,-0.6437400664790403,-0.4413568188009426,-0.2023832476780976,-0.010977751805476346,0.014490601115218264,-0.0027810661922564994,-0.8033993530273449,-0.24560340418524618,0
8472,68.7300033569336,67.75,68.38999938964844,3460000,28.76347472279916,-0.691345846334599,-0.4913546243076738,-0.1999912220269251,0.0010235370002768848,0.004971545113606471,-0.00935808444743616,-0.9252994537353487,-0.32824792032501193,1
8473,70.08000183105469,68.13999938964844,68.75,3800000,34.55728973738607,-0.6920472394545527,-0.5314931473370497,-0.160554092117503,0.005236372514204546,0.01934548117897727,-0.008872736150568182,-1.01859954833985,-0.3786951810381112,1
8474,69.37000274658203,68.44999694824219,68.80999755859375,3810000,35.49884200520472,-0.6799240557210453,-0.5611793290138488,-0.1187447267071964,0.0008719308345078824,0.008138427668325671,-0.005231806759548441,-1.0798995971679801,-0.4177724597347492,1
8475,68.95999908447266,68.0,68.29000091552734,3350000,31.29616576313352,-0.7041586262516972,-0.5897751884614185,-0.1143834377902787,-0.007614535599576668,0.009811072777317428,-0.004246608751493005,-1.1612998199462936,-0.4793127540499853,1
8476,68.68000030517578,67.55000305175781,68.4000015258789,3760000,33.10048733334088,-0.7063462481920908,-0.613089400407553,-0.0932568477845378,0.0016081960218954695,0.004093549313605474,-0.012426877999403256,-1.2388996124267635,-0.5248559159269206,1
8477,69.05000305175781,68.0999984741211,68.3499984741211,3560000,32.68033616020232,-0.7039995145455435,-0.6312714232351511,-0.0727280913103924,-0.0007315735607038063,0.010241471737585434,-0.00365764455861189,-1.3454998016357536,-0.5652867685405454,1
8478,68.66999816894531,67.83000183105469,68.12999725341797,3330000,30.82634970604504,-0.7116880740005342,-0.6473547533882278,-0.0643333206123064,-0.0032291388459154517,0.007926037535547572,-0.004403279531150003,-1.4528999328613281,-0.6106462923045939,1
8479,68.5,67.55000305175781,67.9000015258789,3050000,28.97566348262066,-0.7279487062661048,-0.6634735439638032,-0.0644751623023015,-0.003387271316207609,0.008836501629420653,-0.005154616586977512,-1.5600000762939459,-0.660680722843793,1
8480,68.6500015258789,67.62000274658203,68.16999816894531,3520000,33.98603349074489,-0.7108546123689763,-0.6729497576448379,-0.0379048547241384,0.003960637381818247,0.007041269910907203,-0.008067998197685597,-1.630500030517581,-0.6865813142131856,1
8481,69.08999633789062,68.12000274658203,68.83999633789062,3840000,44.457103682673065,-0.6359137491163978,-0.6655425559391499,0.0296288068227521,0.009732687457691437,0.003631609722535619,-0.010458942905438504,-1.689399948120112,-0.6689970333274005,1
8482,69.6500015258789,68.55999755859375,69.26000213623047,4260000,49.82952215167669,-0.5364477811835116,-0.6397236009880223,0.1032758198045107,0.006064189797651411,0.005630946832507036,-0.01010690955885115,-1.7091998291015642,-0.6276830262887785,1
